alert_id,alert_type,is_sar,member_count,main_acct,start_step,end_step
ALERT_000001,fan_in,True,10,A000795,457,464
ALERT_000002,fan_out,True,10,A000238,180,185
ALERT_000003,cycle,True,10,A000261,340,355
ALERT_000004,fan_in,True,10,A000990,220,225
ALERT_000005,fan_out,True,10,A000956,629,634
ALERT_000006,cycle,True,10,A000862,150,156
ALERT_000007,fan_in,True,10,A000481,100,105
ALERT_000008,fan_out,True,10,A000547,49,66
ALERT_000009,cycle,True,10,A000063,298,316
ALERT_000010,fan_in,True,10,A000230,476,491
ALERT_000011,fan_out,True,10,A000646,71,91
ALERT_000012,cycle,True,10,A000027,361,368
ALERT_000013,fan_in,True,10,A000326,208,218
ALERT_000014,fan_out,True,10,A000877,351,361
ALERT_000015,cycle,True,10,A000351,608,620
ALERT_000016,fan_in,True,10,A000649,360,374
ALERT_000017,fan_out,True,10,A000173,344,354
ALERT_000018,cycle,True,10,A000180,79,93
ALERT_000019,fan_in,True,10,A000457,317,330
ALERT_000020,fan_out,True,10,A000009,288,308
ALERT_000021,cycle,True,10,A000773,356,374
ALERT_000022,fan_in,True,10,A000514,227,245
ALERT_000023,fan_out,True,10,A000193,615,620
ALERT_000024,cycle,True,10,A000349,326,341
ALERT_000025,fan_in,True,10,A000674,351,367
ALERT_000026,fan_out,True,10,A000147,318,328
ALERT_000027,cycle,True,10,A000159,313,319
ALERT_000028,fan_in,True,10,A000851,300,312
ALERT_000029,fan_out,True,10,A000787,374,392
ALERT_000030,cycle,True,10,A000717,650,670
ALERT_000031,fan_in,True,10,A000573,257,270
ALERT_000032,fan_out,True,10,A000794,362,378
ALERT_000033,cycle,True,10,A000464,382,389
ALERT_000034,fan_in,True,10,A000174,115,127
ALERT_000035,fan_out,True,10,A000347,304,309
ALERT_000036,cycle,True,10,A000890,419,433
ALERT_000037,fan_in,True,10,A000849,437,450
ALERT_000038,fan_out,True,10,A000111,282,295
ALERT_000039,cycle,True,10,A000455,253,273
ALERT_000040,fan_in,True,10,A000358,307,320
ALERT_000041,fan_out,True,10,A000252,454,474
ALERT_000042,cycle,True,10,A000071,481,494
ALERT_000043,fan_in,True,10,A000622,651,657
ALERT_000044,fan_out,True,10,A000179,91,110
ALERT_000045,cycle,True,10,A000797,191,199
ALERT_000046,fan_in,True,10,A000986,151,156
ALERT_000047,fan_out,True,10,A000010,151,167
ALERT_000048,cycle,True,10,A000432,145,152
ALERT_000049,fan_in,True,10,A000969,178,193
ALERT_000050,fan_out,True,10,A000769,397,410
ALERT_000051,cycle,True,10,A000802,364,374
ALERT_000052,fan_in,True,10,A000635,106,119
ALERT_000053,fan_out,True,10,A000298,170,189
ALERT_000054,cycle,True,10,A000669,341,350
ALERT_000055,fan_in,True,10,A000674,609,617
ALERT_000056,fan_out,True,10,A000566,468,488
ALERT_000057,cycle,True,10,A000876,173,179
ALERT_000058,fan_in,True,10,A000921,365,372
ALERT_000059,fan_out,True,10,A000659,106,113
ALERT_000060,cycle,True,10,A000659,426,432
ALERT_000061,fan_in,True,10,A000383,456,463
ALERT_000062,fan_out,True,10,A000381,303,309
ALERT_000063,cycle,True,10,A000417,625,632
ALERT_000064,fan_in,True,10,A000434,330,350
ALERT_000065,fan_out,True,10,A000383,582,599
ALERT_000066,cycle,True,10,A000457,642,651
ALERT_000067,fan_in,True,10,A000064,287,301
ALERT_000068,fan_out,True,10,A000711,285,296
ALERT_000069,cycle,True,10,A000461,199,204
ALERT_000070,fan_in,True,10,A000130,177,182
ALERT_000071,fan_out,True,10,A000775,173,182
ALERT_000072,cycle,True,10,A000513,46,55
ALERT_000073,fan_in,True,10,A000942,23,38
ALERT_000074,fan_out,True,10,A000255,432,438
ALERT_000075,cycle,True,10,A000965,301,315
ALERT_000076,fan_in,True,10,A000118,35,54
