tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,A000672,A000430,CREDIT,456.26,2017-12-23T00:00:00Z,False,
2,A000303,A000988,DEPOSIT,307.34,2018-04-05T00:00:00Z,False,
3,A000936,A000384,WIRE,820.44,2018-02-06T00:00:00Z,False,
4,A000722,A000183,WIRE,678.56,2018-04-02T00:00:00Z,False,
5,A000470,A000734,TRANSFER,282.01,2018-07-17T00:00:00Z,False,
6,A000993,A000154,CREDIT,117.03,2017-08-15T00:00:00Z,False,
7,A000917,A000975,TRANSFER,736.66,2017-07-14T00:00:00Z,False,
8,A000886,A000486,WIRE,47.45,2018-11-11T00:00:00Z,False,
9,A000433,A000320,CREDIT,979.57,2018-11-15T00:00:00Z,False,
10,A000140,A000227,CREDIT,311.27,2018-06-09T00:00:00Z,False,
11,A000900,A000429,TRANSFER,180.62,2018-05-12T00:00:00Z,False,
12,A000620,A000000,WIRE,776.31,2017-11-19T00:00:00Z,False,
13,A000515,A000304,CREDIT,253.19,2017-02-05T00:00:00Z,False,
14,A000392,A000751,TRANSFER,796.10,2018-10-05T00:00:00Z,False,
15,A000521,A000697,DEPOSIT,379.98,2017-05-15T00:00:00Z,False,
16,A000666,A000031,TRANSFER,122.95,2018-08-12T00:00:00Z,False,
17,A000479,A000196,CREDIT,900.84,2018-04-10T00:00:00Z,False,
18,A000864,A000200,DEPOSIT,627.39,2018-04-23T00:00:00Z,False,
19,A000109,A000278,DEPOSIT,591.22,2018-07-17T00:00:00Z,False,
20,A000427,A000114,DEPOSIT,583.77,2018-10-04T00:00:00Z,False,
21,A000789,A000818,TRANSFER,461.31,2017-07-11T00:00:00Z,False,
22,A000430,A000633,DEPOSIT,757.48,2017-02-01T00:00:00Z,False,
23,A000416,A000407,WIRE,879.28,2017-09-04T00:00:00Z,False,
24,A000112,A000244,DEPOSIT,300.35,2018-11-11T00:00:00Z,False,
25,A000107,A000747,CREDIT,467.01,2018-09-08T00:00:00Z,False,
26,A000453,A000350,CREDIT,409.59,2017-05-12T00:00:00Z,False,
27,A000657,A000013,WIRE,628.72,2017-03-06T00:00:00Z,False,
28,A000705,A000375,TRANSFER,176.80,2017-06-26T00:00:00Z,False,
29,A000697,A000861,CREDIT,891.82,2018-02-14T00:00:00Z,False,
30,A000173,A000956,CREDIT,248.37,2018-01-13T00:00:00Z,False,
31,A000423,A000037,TRANSFER,751.87,2018-12-12T00:00:00Z,False,
32,A000277,A000399,TRANSFER,783.43,2018-08-03T00:00:00Z,False,
33,A000931,A000473,CREDIT,125.30,2017-06-13T00:00:00Z,False,
34,A000554,A000148,CREDIT,532.93,2017-11-11T00:00:00Z,False,
35,A000799,A000673,WIRE,137.69,2017-02-11T00:00:00Z,False,
36,A000890,A000013,WIRE,598.52,2018-10-13T00:00:00Z,False,
37,A000657,A000986,TRANSFER,288.35,2018-04-23T00:00:00Z,False,
38,A000159,A000431,TRANSFER,66.17,2018-09-18T00:00:00Z,False,
39,A000803,A000791,DEPOSIT,468.56,2018-09-08T00:00:00Z,False,
40,A000857,A000342,CREDIT,876.48,2017-11-13T00:00:00Z,False,
41,A000876,A000311,CREDIT,139.25,2017-05-25T00:00:00Z,False,
42,A000568,A000299,TRANSFER,548.58,2017-05-12T00:00:00Z,False,
43,A000565,A000118,WIRE,235.41,2018-05-17T00:00:00Z,False,
44,A000431,A000634,TRANSFER,443.42,2017-01-18T00:00:00Z,False,
45,A000002,A000150,TRANSFER,54.11,2018-04-20T00:00:00Z,False,
46,A000829,A000835,WIRE,700.29,2017-12-29T00:00:00Z,False,
47,A000352,A000876,TRANSFER,337.29,2018-04-13T00:00:00Z,False,
48,A000875,A000135,TRANSFER,505.32,2017-11-18T00:00:00Z,False,
49,A000481,A000989,DEPOSIT,707.75,2017-11-07T00:00:00Z,False,
50,A000419,A000550,TRANSFER,323.52,2017-12-22T00:00:00Z,False,
51,A000464,A000392,TRANSFER,457.24,2017-11-13T00:00:00Z,False,
52,A000299,A000569,TRANSFER,153.10,2017-01-28T00:00:00Z,False,
53,A000708,A000134,TRANSFER,863.47,2017-11-05T00:00:00Z,False,
54,A000009,A000886,DEPOSIT,90.02,2018-11-04T00:00:00Z,False,
55,A000737,A000744,DEPOSIT,476.06,2018-06-26T00:00:00Z,False,
56,A000415,A000957,TRANSFER,588.67,2018-03-08T00:00:00Z,False,
57,A000620,A000550,TRANSFER,795.48,2018-12-02T00:00:00Z,False,
58,A000809,A000714,WIRE,937.32,2018-11-11T00:00:00Z,False,
59,A000499,A000097,WIRE,829.92,2018-08-04T00:00:00Z,False,
60,A000502,A000607,TRANSFER,793.77,2018-08-20T00:00:00Z,False,
61,A000109,A000193,TRANSFER,155.97,2017-04-17T00:00:00Z,False,
62,A000173,A000347,TRANSFER,26.06,2018-09-17T00:00:00Z,False,
63,A000621,A000854,TRANSFER,390.16,2017-04-21T00:00:00Z,False,
64,A000125,A000942,TRANSFER,219.23,2017-11-19T00:00:00Z,False,
65,A000525,A000338,WIRE,931.64,2018-04-09T00:00:00Z,False,
66,A000509,A000835,CREDIT,764.03,2017-06-16T00:00:00Z,False,
67,A000762,A000108,WIRE,610.77,2018-07-15T00:00:00Z,False,
68,A000341,A000108,WIRE,435.98,2018-02-22T00:00:00Z,False,
69,A000835,A000939,TRANSFER,724.36,2018-12-10T00:00:00Z,False,
70,A000791,A000635,CREDIT,766.32,2017-07-02T00:00:00Z,False,
71,A000935,A000947,WIRE,648.99,2018-03-26T00:00:00Z,False,
72,A000406,A000582,DEPOSIT,997.87,2018-05-14T00:00:00Z,False,
