pattern_id,start_acc_id,pattern_type,depth,involved_accounts
pat_0,acc_5482,cycle,6,acc_5482|acc_8435|acc_287|acc_7677|acc_2127|acc_3449
pat_1,acc_4885,cycle,6,acc_4885|acc_3342|acc_5014|acc_2021|acc_1054|acc_6456
pat_2,acc_53,cycle,5,acc_53|acc_9913|acc_2688|acc_8250|acc_8592
pat_3,acc_2201,cycle,5,acc_2201|acc_3127|acc_7364|acc_2909|acc_6837
pat_4,acc_5426,cycle,4,acc_5426|acc_4845|acc_723|acc_8435
pat_5,acc_7453,cycle,6,acc_7453|acc_1716|acc_5221|acc_4120|acc_3317|acc_6393
pat_6,acc_581,cycle,6,acc_581|acc_6228|acc_8624|acc_8644|acc_9073|acc_1273
pat_7,acc_8384,cycle,6,acc_8384|acc_1461|acc_8912|acc_3874|acc_3317|acc_8705
pat_8,acc_947,cycle,7,acc_947|acc_8235|acc_4773|acc_4055|acc_7159|acc_9681|acc_7686
pat_9,acc_424,cycle,5,acc_424|acc_1394|acc_6228|acc_5529|acc_9330
pat_10,acc_1457,cycle,4,acc_1457|acc_1814|acc_9785|acc_2447
pat_11,acc_375,cycle,6,acc_375|acc_1972|acc_387|acc_4074|acc_9845|acc_170
pat_12,acc_8944,cycle,6,acc_8944|acc_2708|acc_974|acc_9592|acc_7948|acc_2854
pat_13,acc_1184,cycle,4,acc_1184|acc_3389|acc_53|acc_8198
pat_14,acc_6966,cycle,4,acc_6966|acc_2504|acc_7275|acc_1624
pat_15,acc_3431,cycle,6,acc_3431|acc_2178|acc_8209|acc_9713|acc_2854|acc_3049
pat_16,acc_3339,cycle,7,acc_3339|acc_1639|acc_7857|acc_4607|acc_7635|acc_1248|acc_195
pat_17,acc_2463,cycle,5,acc_2463|acc_2601|acc_9575|acc_3112|acc_6050
pat_18,acc_334,cycle,5,acc_334|acc_2567|acc_6043|acc_7378|acc_3591
pat_19,acc_6981,cycle,5,acc_6981|acc_5741|acc_7982|acc_1585|acc_7424
pat_20,acc_6237,cycle,5,acc_6237|acc_1143|acc_8143|acc_5457|acc_1960
pat_21,acc_3778,cycle,6,acc_3778|acc_6708|acc_389|acc_5587|acc_2890|acc_8975
pat_22,acc_5621,cycle,4,acc_5621|acc_5047|acc_647|acc_1278
pat_23,acc_47,cycle,7,acc_47|acc_1538|acc_6262|acc_8834|acc_5745|acc_9287|acc_6128
pat_24,acc_786,cycle,4,acc_786|acc_4201|acc_4255|acc_6940
pat_25,acc_8277,cycle,7,acc_8277|acc_1280|acc_9236|acc_4651|acc_5990|acc_1192|acc_9198
pat_26,acc_9116,cycle,5,acc_9116|acc_7811|acc_581|acc_713|acc_2468
pat_27,acc_8436,cycle,5,acc_8436|acc_6281|acc_3978|acc_1519|acc_5249
pat_28,acc_4748,cycle,4,acc_4748|acc_2504|acc_3821|acc_2525
pat_29,acc_3126,cycle,4,acc_3126|acc_9080|acc_4919|acc_4831
pat_30,acc_6281,cycle,6,acc_6281|acc_3138|acc_1138|acc_2799|acc_1363|acc_5594
pat_31,acc_2439,cycle,5,acc_2439|acc_9534|acc_227|acc_4462|acc_5524
pat_32,acc_802,cycle,5,acc_802|acc_6787|acc_4084|acc_7421|acc_7091
pat_33,acc_3834,cycle,5,acc_3834|acc_2756|acc_8829|acc_1128|acc_9075
pat_34,acc_3377,cycle,6,acc_3377|acc_8500|acc_1782|acc_5340|acc_9006|acc_9385
pat_35,acc_9566,cycle,6,acc_9566|acc_702|acc_4026|acc_7637|acc_3671|acc_4216
pat_36,acc_3271,cycle,6,acc_3271|acc_7838|acc_1283|acc_2054|acc_3493|acc_235
pat_37,acc_2947,cycle,5,acc_2947|acc_5798|acc_246|acc_8549|acc_6013
pat_38,acc_7815,cycle,7,acc_7815|acc_6732|acc_565|acc_9633|acc_452|acc_6517|acc_1477
pat_39,acc_4580,cycle,5,acc_4580|acc_1949|acc_4609|acc_4076|acc_6468
pat_40,acc_1799,cycle,5,acc_1799|acc_4758|acc_5935|acc_4199|acc_7403
pat_41,acc_4331,cycle,7,acc_4331|acc_7555|acc_7725|acc_5251|acc_5009|acc_7517|acc_3586
pat_42,acc_5038,cycle,4,acc_5038|acc_3086|acc_7094|acc_3011
pat_43,acc_931,cycle,5,acc_931|acc_1693|acc_5471|acc_849|acc_3515
pat_44,acc_9538,cycle,6,acc_9538|acc_3792|acc_8343|acc_8721|acc_4213|acc_521
pat_45,acc_6962,cycle,7,acc_6962|acc_376|acc_2785|acc_5822|acc_3074|acc_1670|acc_4220
pat_46,acc_8905,cycle,4,acc_8905|acc_824|acc_9372|acc_6257
pat_47,acc_1139,cycle,6,acc_1139|acc_2374|acc_7207|acc_9849|acc_1670|acc_9237
pat_48,acc_8098,cycle,7,acc_8098|acc_9408|acc_8128|acc_5742|acc_3341|acc_9014|acc_6839
pat_49,acc_4549,cycle,4,acc_4549|acc_6314|acc_1603|acc_6263
