tx_id,src_id,dst_id,amount,timestamp,description,embedding
tx_90000,acc_5482,acc_8435,9776.99,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90001,acc_8435,acc_287,7793.01,2024-01-01T12:00:00,structuring deposit below threshold,0.015561695210635662|0.9960173964500427|0.7905386090278625|0.3885985016822815|0.4883720874786377|0.7861596345901489|0.07348134368658066|0.5417303442955017
tx_90002,acc_287,acc_7677,11988.94,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90003,acc_7677,acc_2127,7699.32,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90004,acc_2127,acc_3449,9447.98,2024-01-01T12:00:00,round-trip transaction,0.49452438950538635|0.6610378623008728|0.9613661766052246|0.48652133345603943|0.16690754890441895|0.3122021555900574|0.6107506155967712|0.41790771484375
tx_90005,acc_3449,acc_5482,11449.69,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90006,acc_4885,acc_3342,9682.15,2024-01-01T12:00:00,structuring deposit below threshold,0.015561695210635662|0.9960173964500427|0.7905386090278625|0.3885985016822815|0.4883720874786377|0.7861596345901489|0.07348134368658066|0.5417303442955017
tx_90007,acc_3342,acc_5014,12414.59,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90008,acc_5014,acc_2021,10746.27,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90009,acc_2021,acc_1054,8608.37,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90010,acc_1054,acc_6456,8255.62,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90011,acc_6456,acc_4885,8931.79,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90012,acc_53,acc_9913,8002.41,2024-01-01T12:00:00,layered transfer via intermediary,0.11232969164848328|0.18115782737731934|0.2512912452220917|0.8549295663833618|0.8314007520675659|0.9641883969306946|0.5086520314216614|0.450801283121109
tx_90013,acc_9913,acc_2688,10431.89,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90014,acc_2688,acc_8250,10408.73,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
