tx_id,src_id,dst_id,amount,timestamp,description,embedding
tx_90270,acc_6680,acc_6681,9546.21,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90271,acc_6681,acc_6682,8795.64,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90272,acc_6682,acc_6683,11062.54,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90273,acc_6683,acc_6684,11001.71,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90274,acc_6684,acc_6685,7657.67,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90275,acc_6685,acc_6680,8882.88,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90276,acc_9670,acc_9671,11197.3,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90277,acc_9671,acc_9672,12303.84,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90278,acc_9672,acc_9673,12153.54,2024-01-01T13:00:00,loan disbursement,0.28862276673316956|0.8511751294136047|0.88099604845047|0.7732357382774353|0.42601075768470764|0.023797087371349335|0.8137398958206177|0.701734185218811
tx_90279,acc_9673,acc_9674,11729.6,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90280,acc_9674,acc_9675,10007.23,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90281,acc_9675,acc_9676,7578.54,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90282,acc_9676,acc_9670,11571.98,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90283,acc_665,acc_666,11334.91,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90284,acc_666,acc_667,7673.92,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90285,acc_667,acc_668,9274.59,2024-01-01T13:00:00,loan disbursement,0.28862276673316956|0.8511751294136047|0.88099604845047|0.7732357382774353|0.42601075768470764|0.023797087371349335|0.8137398958206177|0.701734185218811
tx_90286,acc_668,acc_669,12274.21,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90287,acc_669,acc_670,9249.57,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90288,acc_670,acc_665,8800.91,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90289,acc_4931,acc_4932,10843.91,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90290,acc_4932,acc_4933,11585.26,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90291,acc_4933,acc_4934,8760.78,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90292,acc_4934,acc_4931,10068.04,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90293,acc_5932,acc_5933,9611.09,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90294,acc_5933,acc_5934,8083.97,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90295,acc_5934,acc_5935,9642.67,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90296,acc_5935,acc_5932,8104.56,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90297,acc_771,acc_772,11990.05,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90298,acc_772,acc_773,11955.26,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90299,acc_773,acc_774,7655.47,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90300,acc_774,acc_775,11209.63,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90301,acc_775,acc_776,9601.06,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90302,acc_776,acc_771,9086.68,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90303,acc_2252,acc_2253,9042.15,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90304,acc_2253,acc_2254,11157.3,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90305,acc_2254,acc_2255,12106.78,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90306,acc_2255,acc_2256,9071.46,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90307,acc_2256,acc_2252,11564.21,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90308,acc_5873,acc_5874,8018.32,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90309,acc_5874,acc_5875,8464.01,2024-01-01T13:00:00,loan disbursement,0.28862276673316956|0.8511751294136047|0.88099604845047|0.7732357382774353|0.42601075768470764|0.023797087371349335|0.8137398958206177|0.701734185218811
tx_90310,acc_5875,acc_5876,10310.54,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90311,acc_5876,acc_5877,10420.15,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90312,acc_5877,acc_5878,10237.72,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90313,acc_5878,acc_5879,11141.7,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90314,acc_5879,acc_5873,8048.84,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90315,acc_5571,acc_5572,9182.92,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90316,acc_5572,acc_5573,8908.63,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90317,acc_5573,acc_5574,9647.68,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90318,acc_5574,acc_5575,10325.19,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90319,acc_5575,acc_5571,8158.87,2024-01-01T13:00:00,loan disbursement,0.28862276673316956|0.8511751294136047|0.88099604845047|0.7732357382774353|0.42601075768470764|0.023797087371349335|0.8137398958206177|0.701734185218811
tx_90320,acc_1050,acc_1051,8260.73,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90321,acc_1051,acc_1052,12094.82,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90322,acc_1052,acc_1053,10134.18,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90323,acc_1053,acc_1054,7978.14,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90324,acc_1054,acc_1055,12382.31,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90325,acc_1055,acc_1056,11175.37,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90326,acc_1056,acc_1050,9675.57,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90327,acc_2483,acc_2484,9179.58,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90328,acc_2484,acc_2485,10939.16,2024-01-01T13:00:00,supplier invoice settlement,0.8492782711982727|0.2675173878669739|0.3748365044593811|0.2579595744609833|0.3542015552520752|0.5505072474479675|0.6175530552864075|0.3694726228713989
tx_90329,acc_2485,acc_2486,11095.76,2024-01-01T13:00:00,dividend distribution,0.8074793219566345|0.31430375576019287|0.11603902280330658|0.2399078607559204|0.8023321628570557|0.34044766426086426|0.043905045837163925|0.7583754658699036
tx_90330,acc_2486,acc_2487,7574.66,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90331,acc_2487,acc_2483,8816.86,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90332,acc_8234,acc_8235,9342.82,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90333,acc_8235,acc_8236,9658.07,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90334,acc_8236,acc_8237,12411.71,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
