pattern_id,start_acc_id,pattern_type,depth,involved_accounts
pat_0,acc_4195,cycle,7,acc_4195|acc_1062|acc_8845|acc_4833|acc_1888|acc_2228|acc_4924
pat_1,acc_3518,cycle,6,acc_3518|acc_7526|acc_7168|acc_7991|acc_2478|acc_8313
pat_2,acc_6659,cycle,4,acc_6659|acc_3718|acc_8627|acc_572
pat_3,acc_3803,cycle,7,acc_3803|acc_9679|acc_9889|acc_3664|acc_6351|acc_2431|acc_9967
pat_4,acc_3681,cycle,4,acc_3681|acc_4034|acc_3269|acc_7055
pat_5,acc_3657,cycle,7,acc_3657|acc_2591|acc_2228|acc_8492|acc_130|acc_119|acc_5046
pat_6,acc_754,cycle,7,acc_754|acc_7727|acc_1640|acc_453|acc_1155|acc_1964|acc_3478
pat_7,acc_8196,cycle,4,acc_8196|acc_6272|acc_6280|acc_489
pat_8,acc_869,cycle,5,acc_869|acc_9022|acc_1341|acc_2568|acc_2013
pat_9,acc_5416,cycle,7,acc_5416|acc_2416|acc_656|acc_8106|acc_6151|acc_6208|acc_6131
pat_10,acc_6435,cycle,7,acc_6435|acc_796|acc_3824|acc_7812|acc_2857|acc_7826|acc_7333
pat_11,acc_830,cycle,5,acc_830|acc_1052|acc_2007|acc_45|acc_2364
pat_12,acc_1826,cycle,4,acc_1826|acc_2436|acc_9363|acc_7263
pat_13,acc_475,cycle,6,acc_475|acc_3921|acc_2586|acc_5585|acc_6790|acc_600
pat_14,acc_2582,cycle,7,acc_2582|acc_9048|acc_7347|acc_2034|acc_897|acc_236|acc_567
pat_15,acc_3502,cycle,7,acc_3502|acc_171|acc_2318|acc_5603|acc_4385|acc_7573|acc_1483
pat_16,acc_5429,cycle,7,acc_5429|acc_4262|acc_7908|acc_9912|acc_1471|acc_4334|acc_661
pat_17,acc_8359,cycle,5,acc_8359|acc_489|acc_6030|acc_8041|acc_1449
pat_18,acc_8287,cycle,6,acc_8287|acc_113|acc_808|acc_7033|acc_695|acc_8231
pat_19,acc_3950,cycle,7,acc_3950|acc_5155|acc_7873|acc_7350|acc_8977|acc_8204|acc_491
pat_20,acc_6115,cycle,5,acc_6115|acc_7009|acc_7991|acc_4644|acc_6901
pat_21,acc_7512,cycle,4,acc_7512|acc_3657|acc_3614|acc_8625
pat_22,acc_6641,cycle,7,acc_6641|acc_9382|acc_9847|acc_8651|acc_7990|acc_643|acc_2246
pat_23,acc_4583,cycle,4,acc_4583|acc_2083|acc_9008|acc_5163
pat_24,acc_9379,cycle,7,acc_9379|acc_3117|acc_4494|acc_1345|acc_5176|acc_1240|acc_8384
pat_25,acc_7490,cycle,5,acc_7490|acc_6367|acc_3458|acc_4438|acc_2478
pat_26,acc_4506,cycle,5,acc_4506|acc_796|acc_5320|acc_1095|acc_6080
pat_27,acc_3802,cycle,6,acc_3802|acc_9644|acc_1184|acc_5746|acc_9527|acc_6250
pat_28,acc_3859,cycle,6,acc_3859|acc_8737|acc_9582|acc_6243|acc_3549|acc_2748
pat_29,acc_329,cycle,7,acc_329|acc_4297|acc_7469|acc_5324|acc_3989|acc_7818|acc_3834
pat_30,acc_3337,cycle,7,acc_3337|acc_2207|acc_4449|acc_6755|acc_3357|acc_6358|acc_9858
pat_31,acc_9740,cycle,7,acc_9740|acc_9027|acc_6987|acc_4074|acc_8030|acc_405|acc_4562
pat_32,acc_4340,cycle,7,acc_4340|acc_788|acc_5325|acc_9399|acc_4496|acc_3137|acc_7316
pat_33,acc_6912,cycle,6,acc_6912|acc_4879|acc_6448|acc_5147|acc_5097|acc_545
pat_34,acc_7389,cycle,7,acc_7389|acc_2585|acc_3995|acc_4339|acc_4168|acc_6434|acc_32
pat_35,acc_8782,cycle,5,acc_8782|acc_8318|acc_9882|acc_1240|acc_423
pat_36,acc_2521,cycle,7,acc_2521|acc_7157|acc_9792|acc_7769|acc_8484|acc_5344|acc_8283
pat_37,acc_1999,cycle,5,acc_1999|acc_1386|acc_6623|acc_2331|acc_9595
pat_38,acc_4860,cycle,5,acc_4860|acc_781|acc_574|acc_4329|acc_1444
pat_39,acc_257,cycle,4,acc_257|acc_1750|acc_7359|acc_5577
pat_40,acc_8296,cycle,5,acc_8296|acc_4260|acc_2814|acc_7301|acc_2601
pat_41,acc_1545,cycle,4,acc_1545|acc_2724|acc_3429|acc_347
pat_42,acc_6482,cycle,6,acc_6482|acc_8058|acc_25|acc_1476|acc_9836|acc_4287
pat_43,acc_4297,cycle,4,acc_4297|acc_949|acc_6650|acc_2804
pat_44,acc_4108,cycle,4,acc_4108|acc_4641|acc_4302|acc_3601
pat_45,acc_8024,cycle,6,acc_8024|acc_1337|acc_6138|acc_9965|acc_2961|acc_113
pat_46,acc_328,cycle,7,acc_328|acc_567|acc_1221|acc_3280|acc_5261|acc_9586|acc_9942
pat_47,acc_1690,cycle,6,acc_1690|acc_4679|acc_1859|acc_1867|acc_9820|acc_6154
pat_48,acc_1828,cycle,6,acc_1828|acc_1940|acc_1340|acc_8069|acc_5282|acc_1735
pat_49,acc_216,cycle,4,acc_216|acc_3568|acc_6719|acc_163
