tx_id,src_id,dst_id,amount,timestamp,description,embedding
tx_90000,acc_4195,acc_1062,11367.66,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90001,acc_1062,acc_8845,10742.79,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90002,acc_8845,acc_4833,7890.49,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90003,acc_4833,acc_1888,9042.81,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90004,acc_1888,acc_2228,9541.03,2024-01-01T12:00:00,layered transfer via intermediary,0.11232969164848328|0.18115782737731934|0.2512912452220917|0.8549295663833618|0.8314007520675659|0.9641883969306946|0.5086520314216614|0.450801283121109
tx_90005,acc_2228,acc_4924,11267.35,2024-01-01T12:00:00,shell company payment,0.5747149586677551|0.25125250220298767|0.8648430109024048|0.1363816261291504|0.3268207311630249|0.43060746788978577|0.1474243551492691|0.09917276352643967
tx_90006,acc_4924,acc_4195,8536.65,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90007,acc_3518,acc_7526,9064.57,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90008,acc_7526,acc_7168,10529.14,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90009,acc_7168,acc_7991,11761.47,2024-01-01T12:00:00,high-value cross-border wire,0.7645555138587952|0.9969177842140198|0.11546910554170609|0.3026147782802582|0.6523883938789368|0.585801362991333|0.19824202358722687|0.634227454662323
tx_90010,acc_7991,acc_2478,9462.33,2024-01-01T12:00:00,shell company payment,0.5747149586677551|0.25125250220298767|0.8648430109024048|0.1363816261291504|0.3268207311630249|0.43060746788978577|0.1474243551492691|0.09917276352643967
tx_90011,acc_2478,acc_8313,8106.47,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90012,acc_8313,acc_3518,12103.22,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90013,acc_6659,acc_3718,8003.83,2024-01-01T12:00:00,layered transfer via intermediary,0.11232969164848328|0.18115782737731934|0.2512912452220917|0.8549295663833618|0.8314007520675659|0.9641883969306946|0.5086520314216614|0.450801283121109
tx_90014,acc_3718,acc_8627,7857.53,2024-01-01T12:00:00,layered transfer via intermediary,0.11232969164848328|0.18115782737731934|0.2512912452220917|0.8549295663833618|0.8314007520675659|0.9641883969306946|0.5086520314216614|0.450801283121109
tx_90015,acc_8627,acc_572,8372.82,2024-01-01T12:00:00,structuring deposit below threshold,0.015561695210635662|0.9960173964500427|0.7905386090278625|0.3885985016822815|0.4883720874786377|0.7861596345901489|0.07348134368658066|0.5417303442955017
tx_90016,acc_572,acc_6659,10848.04,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90017,acc_3803,acc_9679,11204.32,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90018,acc_9679,acc_9889,9894.67,2024-01-01T12:00:00,layered transfer via intermediary,0.11232969164848328|0.18115782737731934|0.2512912452220917|0.8549295663833618|0.8314007520675659|0.9641883969306946|0.5086520314216614|0.450801283121109
tx_90019,acc_9889,acc_3664,9498.17,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90020,acc_3664,acc_6351,11981.99,2024-01-01T12:00:00,structuring deposit below threshold,0.015561695210635662|0.9960173964500427|0.7905386090278625|0.3885985016822815|0.4883720874786377|0.7861596345901489|0.07348134368658066|0.5417303442955017
tx_90021,acc_6351,acc_2431,7808.74,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90022,acc_2431,acc_9967,8150.98,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90023,acc_9967,acc_3803,10455.89,2024-01-01T12:00:00,structuring deposit below threshold,0.015561695210635662|0.9960173964500427|0.7905386090278625|0.3885985016822815|0.4883720874786377|0.7861596345901489|0.07348134368658066|0.5417303442955017
tx_90024,acc_3681,acc_4034,8380.35,2024-01-01T12:00:00,dormant account sudden activity,0.09570565074682236|0.24545806646347046|0.616956889629364|0.6823961138725281|0.6397320628166199|0.08319433778524399|0.9039698839187622|0.2902640998363495
tx_90025,acc_4034,acc_3269,9193.3,2024-01-01T12:00:00,shell company payment,0.5747149586677551|0.25125250220298767|0.8648430109024048|0.1363816261291504|0.3268207311630249|0.43060746788978577|0.1474243551492691|0.09917276352643967
tx_90026,acc_3269,acc_7055,10928.24,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90027,acc_7055,acc_3681,10613.86,2024-01-01T12:00:00,layered transfer via intermediary,0.11232969164848328|0.18115782737731934|0.2512912452220917|0.8549295663833618|0.8314007520675659|0.9641883969306946|0.5086520314216614|0.450801283121109
tx_90028,acc_3657,acc_2591,8279.51,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90029,acc_2591,acc_2228,11984.52,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90030,acc_2228,acc_8492,7738.75,2024-01-01T12:00:00,rapid movement of funds between accounts,0.3340839743614197|0.6522120833396912|0.4539414644241333|0.33819061517715454|0.7321610450744629|0.41455012559890747|0.7218261957168579|0.4635797142982483
tx_90031,acc_8492,acc_130,10407.94,2024-01-01T12:00:00,structuring deposit below threshold,0.015561695210635662|0.9960173964500427|0.7905386090278625|0.3885985016822815|0.4883720874786377|0.7861596345901489|0.07348134368658066|0.5417303442955017
tx_90032,acc_130,acc_119,8837.98,2024-01-01T12:00:00,offshore transfer to tax haven,0.3354588747024536|0.535832405090332|0.8962000608444214|0.9040831327438354|0.7957221269607544|0.13063232600688934|0.20053112506866455|0.5797425508499146
tx_90033,acc_119,acc_5046,7734.91,2024-01-01T12:00:00,round-trip transaction,0.49452438950538635|0.6610378623008728|0.9613661766052246|0.48652133345603943|0.16690754890441895|0.3122021555900574|0.6107506155967712|0.41790771484375
tx_90034,acc_5046,acc_3657,12174.82,2024-01-01T12:00:00,high-value cross-border wire,0.7645555138587952|0.9969177842140198|0.11546910554170609|0.3026147782802582|0.6523883938789368|0.585801362991333|0.19824202358722687|0.634227454662323
