tx_id,src_id,dst_id,amount,timestamp,description,embedding
tx_90287,acc_803,acc_804,10346.79,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90288,acc_804,acc_805,10058.35,2024-01-01T13:00:00,loan disbursement,0.28862276673316956|0.8511751294136047|0.88099604845047|0.7732357382774353|0.42601075768470764|0.023797087371349335|0.8137398958206177|0.701734185218811
tx_90289,acc_805,acc_806,7798.09,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90290,acc_806,acc_803,10786.92,2024-01-01T13:00:00,merchant settlement payout,0.2787591516971588|0.7976254820823669|0.14438168704509735|0.14570657908916473|0.12100991606712341|0.44715461134910583|0.30940431356430054|0.4788595736026764
tx_90291,acc_4469,acc_4470,7590.87,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90292,acc_4470,acc_4471,10223.46,2024-01-01T13:00:00,intercompany treasury sweep,0.5293136239051819|0.47226735949516296|0.1729045808315277|0.4806453287601471|0.002571074990555644|0.34117624163627625|0.8096591830253601|0.6111971735954285
tx_90293,acc_4471,acc_4472,9384.2,2024-01-01T13:00:00,payroll batch funding,0.03727298602461815|0.17709051072597504|0.09594503045082092|0.8384945392608643|0.7585216760635376|0.8002722263336182|0.1872527152299881|0.9334840774536133
tx_90294,acc_4472,acc_4473,10143.21,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90295,acc_4473,acc_4474,9333.52,2024-01-01T13:00:00,loan disbursement,0.28862276673316956|0.8511751294136047|0.88099604845047|0.7732357382774353|0.42601075768470764|0.023797087371349335|0.8137398958206177|0.701734185218811
tx_90296,acc_4474,acc_4469,11234.42,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90297,acc_5393,acc_5394,11554.39,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
tx_90298,acc_5394,acc_5395,9310.96,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90299,acc_5395,acc_5396,10582.07,2024-01-01T13:00:00,fleet lease payment,0.9750179052352905|0.3877961337566376|0.8340364694595337|0.3926515579223633|0.1809476763010025|0.8078835606575012|0.5650008320808411|0.7609233856201172
tx_90300,acc_5396,acc_5393,8035.09,2024-01-01T13:00:00,property purchase completion,0.7062879800796509|0.288995623588562|0.865757405757904|0.13365520536899567|0.274323433637619|0.4068728983402252|0.040509000420570374|0.8134048581123352
